datetime,feed_flow,product_flow,reject_flow,temperature,feed_cond,reject_cond,product_cond,feed_ph,orp,reject_ph,product_ph,pressure_drop,feed_pressure,hpp_pressure,cf_pressure
Sat Apr 06 2019 17:00:00 GMT+0530,233,81.48,150,28.13,61565,81088,713,7.66,-16.8,7.7,6.63,0.96,61.76,32.01,2.66
Sat Apr 06 2019 18:00:00 GMT+0530,233,81.48,150,28.13,61565,81088,713,7.66,-16.8,7.7,6.63,0.96,61.76,32.01,2.66
Sat Apr 06 2019 19:00:00 GMT+0530,232,81.2,151,28.09,61624,91279,716,7.65,-16.76,7.7,6.61,0.96,61.77,32.02,2.64
Sat Apr 06 2019 20:00:00 GMT+0530,232,81.2,151,28.09,61624,91279,716,7.65,-16.76,7.7,6.61,0.96,61.77,32.02,2.64
Sat Apr 06 2019 21:00:00 GMT+0530,232,81.03,148,28.03,61679,91224,695,7.62,-15.29,7.71,6.59,0.96,61.79,31.98,2.98
Sat Apr 06 2019 22:00:00 GMT+0530,232,81.03,148,28.03,61679,91224,695,7.62,-15.29,7.71,6.59,0.96,61.79,31.98,2.98
Sat Apr 06 2019 23:00:00 GMT+0530,232,80.92,149,27.98,61790,91063,684,7.63,-15.8,7.69,6.55,0.96,61.74,32,2.58
Sun Apr 07 2019 00:00:00 GMT+0530,232,80.92,149,27.98,61790,91063,684,7.63,-15.8,7.69,6.55,0.96,61.74,32,2.58
Sun Apr 07 2019 01:00:00 GMT+0530,233,80.83,149,28.41,61922,91355,705,7.62,-14.35,7.69,6.56,0.96,61.82,31.98,2.67
Sun Apr 07 2019 02:00:00 GMT+0530,233,80.83,149,28.41,61922,91355,705,7.62,-14.35,7.69,6.56,0.96,61.82,31.98,2.67
Sun Apr 07 2019 03:00:00 GMT+0530,234,84.23,149,28.13,61800,90690,662,7.63,-16.67,7.72,6.6,0.96,61.68,32.28,3
Sun Apr 07 2019 04:00:00 GMT+0530,234,84.23,149,28.13,61800,90690,662,7.63,-16.67,7.72,6.6,0.96,61.68,32.28,3
Sun Apr 07 2019 05:00:00 GMT+0530,234,83.09,148,28.05,60975,90752,653,7.65,-16.76,7.72,6.61,0.96,61.72,32.29,3
Sun Apr 07 2019 06:00:00 GMT+0530,234,83.09,148,28.05,60975,90752,653,7.65,-16.76,7.72,6.61,0.96,61.72,32.29,3
Sun Apr 07 2019 07:00:00 GMT+0530,234,83.43,148,27.87,61160,90917,643,7.65,-16.62,7.73,6.62,0.97,61.87,32.28,2.88
Sun Apr 07 2019 08:00:00 GMT+0530,234,83.43,148,27.87,61160,90917,643,7.65,-16.62,7.73,6.62,0.97,61.87,32.28,2.88
Sun Apr 07 2019 09:00:00 GMT+0530,233,82.68,151,27.85,61351,90874,643,7.66,-16.62,7.74,6.62,0.97,62.04,32.35,3
Sun Apr 07 2019 10:00:00 GMT+0530,233,82.68,151,27.85,61351,90874,643,7.66,-16.62,7.74,6.62,0.97,62.04,32.35,3
Sun Apr 07 2019 11:00:00 GMT+0530,234,83.41,150,27.78,61442,90932,648,7.67,-16.84,7.75,6.63,0.97,62.08,32.3,3
Sun Apr 07 2019 12:00:00 GMT+0530,234,83.41,150,27.78,61442,90932,648,7.67,-16.84,7.75,6.63,0.97,62.08,32.3,3
Sun Apr 07 2019 13:00:00 GMT+0530,234,82.74,148,27.85,61536,91000,663,7.66,-17.03,7.74,6.61,0.97,62.12,30.33,3
Sun Apr 07 2019 14:00:00 GMT+0530,234,82.74,148,27.85,61536,91000,663,7.66,-17.03,7.74,6.61,0.97,62.12,30.33,3
Sun Apr 07 2019 15:00:00 GMT+0530,234,82.6,149,27.84,61604,91020,676,7.65,-16.81,7.72,6.61,0.97,62.21,32.57,3.01
Sun Apr 07 2019 16:00:00 GMT+0530,234,82.6,149,27.84,61604,91020,676,7.65,-16.81,7.72,6.61,0.97,62.21,32.57,3.01
Sun Apr 07 2019 17:00:00 GMT+0530,234,82.87,150,27.87,61432,90650,678,7.68,-16.71,7.76,6.64,0.97,62.15,32.37,3.01
Sun Apr 07 2019 18:00:00 GMT+0530,234,82.87,150,27.87,61432,90650,678,7.68,-16.71,7.76,6.64,0.97,62.15,32.37,3.01
Sun Apr 07 2019 19:00:00 GMT+0530,234,83.01,149,27.92,61341,90664,682,7.69,-16.71,7.76,6.7,0.97,62.06,32.32,3.02
Sun Apr 07 2019 20:00:00 GMT+0530,234,83.01,149,27.92,61341,90664,682,7.69,-16.71,7.76,6.7,0.97,62.06,32.32,3.02
Sun Apr 07 2019 21:00:00 GMT+0530,233,82.41,149,27.88,61448,90781,678,7.68,-16.81,7.77,6.7,0.97,62.06,32.37,3
Sun Apr 07 2019 22:00:00 GMT+0530,233,82.41,149,27.88,61448,90781,678,7.68,-16.81,7.77,6.7,0.97,62.06,32.37,3
Sun Apr 07 2019 23:00:00 GMT+0530,233,82.22,150,27.84,61543,90820,672,7.67,-15.94,7.72,6.66,0.97,62.314,32.34,2.99
Mon Apr 08 2019 00:00:00 GMT+0530,233,82.22,150,27.84,61543,90820,672,7.67,-15.94,7.72,6.66,0.97,62.314,32.34,2.99
Mon Apr 08 2019 01:00:00 GMT+0530,234,82.91,150,27.85,61565,90723,665,7.64,-15.22,7.72,6.63,0.97,62.12,32.34,3
Mon Apr 08 2019 02:00:00 GMT+0530,234,82.91,150,27.85,61565,90723,665,7.64,-15.22,7.72,6.63,0.97,62.12,32.34,3
Mon Apr 08 2019 03:00:00 GMT+0530,233,82.55,149,27.76,61617,90968,654,7.65,-14.44,7.71,6.59,0.97,62.21,32.34,2.99
Mon Apr 08 2019 04:00:00 GMT+0530,233,82.55,149,27.76,61617,90968,654,7.65,-14.44,7.71,6.59,0.97,62.21,32.34,2.99
Mon Apr 08 2019 05:00:00 GMT+0530,234,82.32,150,27.67,61679,90968,649,7.63,-15.08,7.72,6.57,0.97,62.21,32.35,3
Mon Apr 08 2019 06:00:00 GMT+0530,234,82.32,150,27.67,61679,90968,649,7.63,-15.08,7.72,6.57,0.97,62.21,32.35,3
Mon Apr 08 2019 07:00:00 GMT+0530,234,82.22,149,27.49,61679,90799,643,7.65,-15.72,7.74,6.55,0.97,62.74,32.31,3
Mon Apr 08 2019 08:00:00 GMT+0530,234,82.22,149,27.49,61679,90799,643,7.65,-15.72,7.74,6.55,0.97,62.74,32.31,3
Mon Apr 08 2019 09:00:00 GMT+0530,234,82.59,153,27.58,61617,90728,642,7.67,-16.53,7.73,6.55,0.97,62.31,32.3,2.99
